TTS position	Strand	Signal intensity	Associated gene	TTS category
8478337	-	-1.630489573	SAVERM_7119	S
1630695	-	-1.503907361	SAVERM_1319	P
3132066	-	-3.132088251	SAVERM_2552	P
3760660	-	-7.424194548	SAVERM_3006	P
3760516	-	-0.60717241	SAVERM_3006	S
7225344	-	-1.449580585	SAVERM_5998	P
3479395	-	-11.87839723	SAVERM_2833	P
1533879	-	-1.347853079	SAVERM_1236	P
5077487	-	-6.597947148	SAVERM_4138	P
4005295	-	-5.297494799	SAVERM_3214	P
4960518	+	1.437153232	SAVERM_4042	C
5015810	+	1.449580585	SAVERM_4098	C
8334608	+	4.225352167	SAVERM_6977	C
6152108	+	1.189490115	SAVERM_5075	C
5036431	+	1.474435291	SAVERM_4110	C
6124358	+	43.59322162	SAVERM_r10	C
5288901	+	0.854835527	SAVERM_4317	C
2938604	+	11.90325194	SAVERM_2411	C
6104333	+	0.738371986	SAVERM_5042	C
4553932	+	4.514914707	SAVERM_3677	C
7368850	+	2.031898289	SAVERM_6127	C
2496244	+	11.22470803	SAVERM_2046	C
7533903	+	1.942598136	SAVERM_6276	C
6005830	+	6.474557561	SAVERM_4957	C
3764051	+	3.743878026	SAVERM_3008	C
5821534	+	0.86726288	SAVERM_4776	C
6981906	+	0.582317705	SAVERM_5776	C
5047906	+	1.214344821	SAVERM_4116	C
6197703	+	0.517872258	SAVERM_5103	C
3879859	+	11.18049993	SAVERM_3107	C
2594499	+	1.347853079	SAVERM_2127	C
6604916	+	1.189490115	SAVERM_5446	C
3771384	+	3.701978603	SAVERM_3016	C
6774306	+	0.465854164	SAVERM_5601	C
7369529	+	4.413187201	SAVERM_6128	C
5453225	+	6.683513879	SAVERM_4464	C
8236491	+	25.89361288	SAVERM_6902	C
7353125	+	0.41383607	SAVERM_6114	C
8173811	+	25.91242548	SAVERM_6847	C
5356223	+	16.19304955	SAVERM_4376	C
5128194	+	1.798971208	SAVERM_4179	C
6040490	+	4.182568802	SAVERM_4991	C
5102773	+	1.266362915	SAVERM_4154	C
4290039	+	1.372707785	SAVERM_3461	C
3402238	+	18.2627707	SAVERM_2773	C
8111927	+	1.890580043	SAVERM_6795	C
3437611	+	1.437153232	SAVERM_2801	C
8204302	+	232.1358599	SAVERM_6875	C
5553364	+	1.861107972	SAVERM_4547	C
5631571	+	2.66854277	SAVERM_4614	C
3870955	+	0.879690233	SAVERM_3098	C
2947146	+	2.204997289	SAVERM_2418	C
7034568	+	6.643923138	SAVERM_5828	C
5072359	+	0.996153774	SAVERM_4133	C
4016742	+	1.125044668	SAVERM_3223	C
8202699	+	3.50633358	SAVERM_6874	C
7007814	+	0.983726421	SAVERM_5801	C
8105787	+	6.09800355	SAVERM_6789	C
3500627	+	1.28109895	SAVERM_2858	C
7492859	+	9.000357344	SAVERM_6233	C
8178845	+	0.659190504	SAVERM_6852	C
5914563	+	1.112617315	SAVERM_4864	C
2066877	+	2.356434206	SAVERM_1689	C
2842419	+	10.13782937	SAVERM_2333	C
8345144	+	3.523378297	SAVERM_6987	C
6614988	+	0.906853621	SAVERM_5452	C
6227507	+	3.729141991	SAVERM_5127	C
5300586	+	878.9195507	SAVERM_4325	C
6000292	+	0.686353892	SAVERM_4949	C
7366065	+	1.850989301	SAVERM_6124	C
3300337	+	8.256484051	SAVERM_2694	C
7170320	+	1.023317162	SAVERM_5956	C
5987107	+	208.1966796	SAVERM_4925	C
7346463	+	2.458161712	SAVERM_6109	C
5969590	+	4.683396342	SAVERM_4914	C
7814107	+	1.590898832	SAVERM_6527	C
6761422	+	0.41383607	SAVERM_5588	C
4767186	+	0.671617857	SAVERM_3859	C
7291387	+	8.439701721	SAVERM_6057	C
5293692	+	1.848680619	SAVERM_4321	C
3283117	+	4.851877977	SAVERM_2675	C
4708021	+	5.895432481	SAVERM_3805	C
5658123	+	1.61806222	SAVERM_4634	C
5512399	+	11.55243657	SAVERM_4512	C
7797564	+	1.645225608	SAVERM_6508	C
1236875	+	0.582317705	SAVERM_974	C
5343401	+	1.308262338	SAVERM_4365	C
5737493	+	1.139780703	SAVERM_4708	C
8054168	+	9.248020461	SAVERM_6737	C
6656704	+	1.462007938	SAVERM_5484	C
8187013	+	3.414724745	SAVERM_6859	C
4270378	+	0.517872258	SAVERM_3446	C
8913175	+	0.349390623	SAVERM_7480	C
6661830	+	1.266362915	SAVERM_5488	C
5967908	+	56.19756348	SAVERM_4912	C
5434771	-	-4524.365839	SAVERM_4448	C
1071875	-	-0.996153774	SAVERM_893	C
6556737	-	-1.100189962	SAVERM_5407	C
6875425	-	-0.349390623	SAVERM_5684	C
3356353	-	-2.666234088	SAVERM_2733	C
4168287	-	-9.138482967	SAVERM_3351	C
6514104	-	-1.96514416	SAVERM_5372	C
4951251	-	-1.46431662	SAVERM_4030	C
4422850	-	-2.527224523	SAVERM_3572	C
3240741	-	-4.916323424	SAVERM_2644	C
2009701	-	-0.892117586	SAVERM_1640	C
4956435	-	-2.123507124	SAVERM_4037	C
6724842	-	-1.28109895	SAVERM_5560	C
2501222	-	-6.355785338	SAVERM_2050	C
4855847	-	-6.896203619	SAVERM_3931	C
5051474	-	-13.83892403	SAVERM_4118	C
3879801	-	-8.199848593	SAVERM_3106	C
3337609	-	-5.146941823	SAVERM_2720	C
31395	-	-3.608061086	SAVERM_24	C
5184040	-	-8.184228616	SAVERM_4228	C
3227336	-	-3.288142533	SAVERM_2627	C
3325631	-	-1.642916926	SAVERM_2710	C
8302202	-	-1.253935562	SAVERM_6957	C
3290377	-	-1.501598679	SAVERM_2684	C
4826944	-	-0.453426811	SAVERM_3907	C
3953319	-	-1.61806222	SAVERM_3176	C
4374569	-	-10.72157181	SAVERM_3534	C
1648041	-	-0.478281517	SAVERM_1336	C
8349495	-	-1.449580585	SAVERM_6989	C
5043000	-	-1.216653503	SAVERM_4112	C
4964487	-	-1.385135138	SAVERM_4044	C
7332846	-	-0.763226692	SAVERM_6095	C
8245883	-	-0.401408717	SAVERM_6911	C
7182852	-	-2.680970123	SAVERM_5965	C
5321586	-	-0.840099492	SAVERM_4343	C
7904979	-	-2.497752453	SAVERM_6607	C
2949549	-	-85.29782873	SAVERM_2420	C
3770105	-	-0.79039008	SAVERM_3014	C
8380211	-	-0.530299611	SAVERM_7020	C
3793306	-	-0.401408717	SAVERM_3034	C
3089719	-	-4.648422965	SAVERM_2524	C
7374518	-	-5.592558645	SAVERM_6130	C
3089203	-	-84.93105024	SAVERM_2523	C
3094824	-	-1.164635409	SAVERM_2527	C
4726157	-	-0.852526845	SAVERM_3823	C
3258637	-	-0.750799339	SAVERM_2657	C
3063696	-	-0.634335798	SAVERM_2511	C
8348493	-	-0.827672139	SAVERM_6988	C
4032736	-	-3.221388404	SAVERM_3235	C
8900509	-	-1.449580585	SAVERM_7474	C
5414043	-	-7.160911453	SAVERM_4430	C
8261747	-	-0.879690233	SAVERM_6925	C
4858469	-	-11.77755367	SAVERM_3934	C
2673271	-	-7.614338264	SAVERM_2198	C
1884205	-	-0.86726288	SAVERM_1540	C
5285602	-	-5.424077011	SAVERM_4315	C
4608516	-	-0.465854164	SAVERM_3723	C
3915179	-	-0.634335798	SAVERM_3143	C
2026845	-	-0.698781245	SAVERM_1654	C
1259480	-	-0.763226692	SAVERM_993	C
3891940	-	-4.86430533	SAVERM_3117	C
3017451	-	-0.465854164	SAVERM_2470	C
2541294	-	-2.2547067	SAVERM_2086	C
3225308	-	-231.8300433	SAVERM_2625	C
2300901	-	-0.892117586	SAVERM_1873	C
2509580	-	-0.530299611	SAVERM_2059	C
7868164	-	-1.008581127	SAVERM_6573	C
5255196	-	-41.60233881	SAVERM_4289	C
4677431	-	-0.788081398	SAVERM_3781	C
5069351	-	-2.239970665	SAVERM_4130	C
6523511	-	-0.530299611	SAVERM_5378	C
3511979	-	-1.382826456	SAVERM_2866	C
5434044	-	-3.24624311	SAVERM_4447	C
8461637	-	-11.34117157	SAVERM_7099	C
6286907	-	-0.542726963	SAVERM_5179	C
3475157	-	-2.083916383	SAVERM_2829	C
