primary 3' end position,Gene strand
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
